Card,Upright Meaning,Reversed Meaning
The Fool,"Beginnings, innocence, spontaneity, free spirit","Recklessness, risk-taking, holding back"
The Magician,"Manifestation, resourcefulness, power","Manipulation, illusions, untapped potential"
The High Priestess,"Intuition, mystery, inner voice","Secrets, withdrawal, lack of insight"
The Empress,"Abundance, nurturing, creativity","Dependence, emptiness, creative block"
The Emperor,"Authority, structure, stability","Domination, rigidity, lack of control"
The Hierophant,"Tradition, spirituality, guidance","Rebellion, personal belief, unconventionality"
The Lovers,"Love, harmony, choices","Imbalance, conflict, difficult decisions"
The Chariot,"Determination, willpower, success","Lack of control, aggression, defeat"
Strength,"Courage, compassion, inner strength","Self-doubt, weakness, insecurity"
The Hermit,"Introspection, wisdom, solitude","Isolation, loneliness, withdrawal"
Wheel of Fortune,"Change, luck, destiny","Bad luck, resistance to change, setbacks"
Justice,"Fairness, truth, law","Dishonesty, imbalance, injustice"
The Hanged Man,"Sacrifice, surrender, new perspective","Stagnation, indecision, delay"
Death,"Transformation, endings, change","Resistance to change, fear, stagnation"
Temperance,"Balance, patience, moderation","Excess, imbalance, discord"
The Devil,"Bondage, addiction, materialism","Freedom, release, empowerment"
The Tower,"Sudden change, upheaval, revelation","Avoidance of disaster, fear of change"
The Star,"Hope, inspiration, healing","Despair, hopelessness, insecurity"
The Moon,"Illusion, fear, subconscious","Clarity, understanding, truth revealed"
The Sun,"Joy, success, vitality","Sadness, pessimism, lack of enthusiasm"
Judgement,"Rebirth, inner calling, reflection","Self-doubt, refusal to change"
The World,"Completion, accomplishment, travel","Incomplete goals, stagnation"
Ace of Wands,"Inspiration, new opportunities, growth","Delays, lack of direction"
Two of Wands,"Planning, decisions, progress","Fear of change, indecision"
Three of Wands,"Expansion, foresight, leadership","Delays, obstacles, frustration"
Four of Wands,"Celebration, harmony, home","Conflict, instability"
Five of Wands,"Competition, conflict, challenge","Resolution, cooperation"
Six of Wands,"Victory, recognition, success","Failure, lack of confidence"
Seven of Wands,"Defense, resilience, boundaries","Overwhelm, giving up"
Eight of Wands,"Fast movement, progress, communication","Delays, frustration"
Nine of Wands,"Resilience, courage, persistence","Exhaustion, giving up"
Ten of Wands,"Burden, responsibility, hard work","Release, delegation"
Page of Wands,"Enthusiasm, exploration, discovery","Lack of direction, immaturity"
Knight of Wands,"Energy, passion, action","Impulsiveness, recklessness"
Queen of Wands,"Confidence, determination, independence","Jealousy, insecurity"
King of Wands,"Leadership, vision, success","Impulsiveness, arrogance"
Ace of Cups,"New love, emotions, intuition","Blocked emotions, emptiness"
Two of Cups,"Partnership, unity, love","Breakups, imbalance"
Three of Cups,"Friendship, community, celebration","Overindulgence, gossip"
Four of Cups,"Apathy, contemplation","New opportunities, awareness"
Five of Cups,"Loss, regret, grief","Acceptance, healing"
Six of Cups,"Memories, nostalgia, innocence","Clinging to past, moving on"
Seven of Cups,"Choices, fantasy, illusion","Clarity, focus"
Eight of Cups,"Walking away, seeking truth","Fear of abandonment, stagnation"
Nine of Cups,"Contentment, satisfaction, gratitude","Dissatisfaction, indulgence"
Ten of Cups,"Harmony, fulfillment, happiness","Disconnection, broken relationships"
Page of Cups,"Creativity, intuition, curiosity","Emotional immaturity, insecurity"
Knight of Cups,"Romance, imagination, charm","Jealousy, moodiness"
Queen of Cups,"Compassion, calm, emotional depth","Insecurity, dependence"
King of Cups,"Balance, emotional control","Manipulation, emotional suppression"
Ace of Swords,"Truth, clarity, breakthrough","Confusion, chaos"
Two of Swords,"Indecision, stalemate","Decision made, clarity"
Three of Swords,"Heartbreak, sorrow, pain","Recovery, forgiveness"
Four of Swords,"Rest, recovery, meditation","Restlessness, burnout"
Five of Swords,"Conflict, tension, betrayal","Resolution, forgiveness"
Six of Swords,"Transition, healing, moving forward",Resistance to change
Seven of Swords,"Deception, strategy, stealth","Confession, truth"
Eight of Swords,"Restriction, fear, paralysis","Freedom, empowerment"
Nine of Swords,"Anxiety, worry, fear","Hope, recovery"
Ten of Swords,"Endings, collapse, rock bottom","Recovery, regeneration"
Page of Swords,"Curiosity, vigilance, ideas","Deception, manipulation"
Knight of Swords,"Ambition, action, drive","Impulsiveness, recklessness"
Queen of Swords,"Independence, clarity, truth","Coldness, bitterness"
King of Swords,"Intellect, authority, logic","Manipulation, cruelty"
Ace of Pentacles,"Prosperity, opportunity, stability","Lost opportunity, instability"
Two of Pentacles,"Balance, adaptability, time management","Overwhelm, imbalance"
Three of Pentacles,"Teamwork, skill, collaboration","Conflict, lack of teamwork"
Four of Pentacles,"Security, control, stability","Greed, insecurity"
Five of Pentacles,"Loss, poverty, struggle","Recovery, hope"
Six of Pentacles,"Generosity, charity, giving","Strings attached, selfishness"
Seven of Pentacles,"Patience, growth, investment","Impatience, wasted effort"
Eight of Pentacles,"Mastery, skill, dedication","Lack of focus, mediocrity"
Nine of Pentacles,"Luxury, independence, success","Financial setbacks, dependence"
Ten of Pentacles,"Legacy, family, wealth","Loss, instability"
Page of Pentacles,"Opportunity, ambition, study","Laziness, lack of progress"
Knight of Pentacles,"Hard work, responsibility","Laziness, stagnation"
Queen of Pentacles,"Practicality, nurture, abundance","Imbalance, neglect"
King of Pentacles,"Wealth, stability, success","Greed, stubbornness"
